projectId,query,url,catg,subcatg,clics,impressions,position,ctr,entity,score,GSC_score,TA_score
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,decibelio,31.77,23.28,26.69
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,diseño,29.77,23.28,25.88
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,eficiencia,2.64,23.28,15.02
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,eficiencia energética,48.0,23.28,33.2
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,embalaje,14.02,23.28,19.58
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,empuñadura,8.42,23.28,17.34
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,ergonomía,60.84,23.28,38.3
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,batería de litio,27.88,23.28,25.12
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,boquilla (viento-metal),37.5,23.28,28.95
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,cable,23.77,23.28,23.45
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,centrifugadora,38.9,23.28,29.55
